A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05	F06	G01	G02	G03	G04	G05	G06	H01	H02	H03	H04	H05	H06
6002de332195010a121dd81a25a05332	0	0	0	0	121	65	743	0	0	0	0	0	364	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	9
d2d97708909ee8dfc574152da308a7b1	0	0	0	0	9	6	199	0	0	0	0	0	0	553	0	0	0	0	0	36	0	0	0	0	0	15	0	0	0	0	0	102	0	0	0	0	0	72	0	0	0	0	0	674	0	0	0	0	0	482
d85c3b097033556506c6cdc0dae49d34	117	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	18	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	845	0	193	0	0	0	0	0	0	23	0	0
7e96a0dbd64f1f4f92b46af9ba1776fc	0	0	61	0	0	0	0	0	0	1910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e79c24902eb1b9834083fdaed764164	0	0	0	0	51	58	10	0	0	0	0	0	87	225	0	0	0	0	0	1060	0	0	0	0	0	388	0	0	0	0	0	20	0	0	0	0	0	70	0	0	0	0	0	27	0	0	0	0	0	9
c9c6396aff9b5243aa1406e74a44b5db	0	0	0	0	0	0	0	130	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	86	0	0	1752	0	0
06c68e7bd60d76327303cb081c21bc96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	172	0	0	0	0	0	384	0	0	0	0	0	228	0	0	0	0	62	206	0	0	0	0	0	413	0
32ad419f8c86937a71eb0f7583c365b1	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	118	0	0	0	0	0
de8f0d9d70b195f1b26191f98f6f755d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	633	0	0	0	0	31	1108	0	0	0	0	16	0	0	0	0	0	19	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0
ce05ddd7f1e1d954b4ef1abd9dddf4b8	0	0	0	0	9	15	141	0	0	0	0	0	58	92	0	0	0	0	0	97	0	0	0	0	0	59	0	0	0	0	0	712	0	0	0	0	0	425	0	0	0	0	0	166	0	0	0	0	0	131
2e168e5dee415d0f2f3b7d09295902e3	0	0	182	0	0	0	0	0	0	32	0	0	0	0	0	692	56	0	0	0	0	90	0	0	0	0	0	429	0	0	0	0	0	34	0	0	0	0	0	330	0	0	0	0	0	36	0	0	0	0
8120300582766a87eb7dc363028977a8	0	0	44	0	0	0	0	0	0	1348	0	0	0	0	0	0	9	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9952eec1fe984976bec7bfe1d17dc29c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1838	0	0	0	0	0
85e5e297ea0427b1ae561132bb53b095	0	0	0	338	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	335	81	0	0	0	0	193	0	0	0	0	0	552	0	0	0	0	0	259	0	0	0
